month	unknown	correct_trivial	correct	wrong	accuracy
2014-04-01	6902	25053	1253	5859	0.1762
2014-05-01	42259	739053	16163	10837	0.5986
2014-06-01	23124	2521114	43604	6075	0.8777
2014-07-01	14205	1325256	61112	2112	0.9666
2014-08-01	35330	1151607	130708	9116	0.9348
2014-09-01	44835	787654	171538	3915	0.9777
2014-10-01	9636	596154	69952	2819	0.9613
2014-11-01	4421	521205	24953	927	0.9642
2014-12-01	14983	599751	46124	18628	0.7123
2015-01-01	6716	440240	38706	1875	0.9538
2015-02-01	6191	440950	46583	1160	0.9757
2015-03-01	13190	634176	81872	4773	0.9449
2015-04-01	9916	382388	62456	678	0.9893
2015-05-01	11016	338841	57193	1713	0.9709
2015-06-01	11085	328664	51417	2637	0.9512
2015-07-01	14632	310866	60744	1959	0.9688
2015-08-01	17136	291099	68289	3604	0.9499
2015-09-01	15618	270079	63315	1876	0.9712
2015-10-01	17334	308341	74257	3697	0.9526
2015-11-01	13647	249705	57984	1545	0.9740
2015-12-01	21353	278164	80538	3956	0.9532
2016-01-01	24775	354162	64319	4029	0.9411
2016-02-01	28709	260387	70634	10773	0.8677
2016-03-01	62941	387500	161047	59854	0.7290
2016-04-01	74261	316283	179388	20144	0.8990
2016-05-01	67072	159602	147019	7929	0.9488
2016-06-01	66907	170922	167672	23658	0.8763
2016-07-01	64110	170962	167226	12671	0.9296
2016-08-01	103091	235721	227979	71101	0.7623
2016-09-01	176515	313479	278897	33310	0.8933
2016-10-01	243082	248160	246762	17044	0.9354
2016-11-01	186631	222410	219014	13392	0.9424
2016-12-01	267248	277493	276304	21412	0.9281
2017-01-01	383177	210591	205146	32836	0.8620
2017-02-01	194827	12068	10088	7595	0.5705
2017-03-01	260413	12994	8896	13064	0.4051
2017-04-01	207162	8934	4598	7669	0.3748
2017-05-01	322204	8060	6150	19162	0.2430
2017-06-01	333277	5211	3950	12559	0.2393
2017-07-01	314936	4505	2812	8708	0.2441
2017-08-01	562445	6238	3413	10243	0.2499
2017-09-01	328262	12526	2015	6049	0.2499
2017-10-01	281767	8188	1001	4080	0.1970
2017-11-01	400703	9317	2279	9988	0.1858
2017-12-01	478932	9645	2011	12972	0.1342
2018-01-01	375886	8939	1870	13232	0.1238
2018-02-01	248278	2388	623	5625	0.0997
2018-03-01	250944	2551	809	5388	0.1305
2018-04-01	320025	13331	7950	28594	0.2175
2018-05-01	354667	5001	1047	21443	0.0466
2018-06-01	83225	78	78	1119	0.0652
