ringsize	real	mixin	unknown	real_new	mixin_new	unknown_new	real_old	mixin_old	unknown_old	real_rel	mixin_rel	unknown_rel	real_rel_new	mixin_rel_new	unknown_rel_new	real_rel_old	mixin_rel_old	unknown_rel_old
1	3077515	0	0	0	0	0	3077515	0	0	1.000	0.000	0.000				1.000	0.000	0.000
2	143613	1471	18761	0	0	0	143613	1471	18761	0.877	0.009	0.115				0.877	0.009	0.115
3	200244	8275	220253	0	0	0	198656	6396	81581	0.467	0.019	0.514				0.693	0.022	0.285
4	282220	4143	125339	0	0	0	275660	3672	112197	0.685	0.010	0.304				0.704	0.009	0.287
5	105466	15905	274026	1521	2449	28246	97068	5719	75613	0.267	0.040	0.693	0.047	0.076	0.877	0.544	0.032	0.424
6	13345	2706	26861	7	78	2550	13262	2580	14612	0.311	0.063	0.626	0.003	0.030	0.968	0.435	0.085	0.480
7	65493	12130	78374	9360	6815	26015	55585	5143	42775	0.420	0.078	0.502	0.222	0.162	0.617	0.537	0.050	0.413
8	1393	726	5827	15	213	1882	1346	454	1915	0.175	0.091	0.733	0.007	0.101	0.892	0.362	0.122	0.515
9	1710	218	3686	8	2	479	1692	170	2537	0.305	0.039	0.657	0.016	0.004	0.980	0.385	0.039	0.577
10	720	243	4382	80	135	861	618	49	1031	0.135	0.045	0.820	0.074	0.125	0.800	0.364	0.029	0.607
