month	count_out	correct_out	wrong_out	unknown_out	count_in	correct_in	wrong_in	unknown_in	accuracy_out	accuracy_in
2014-04-01	3257	2874	1433	5388	328	959	780	3075	0.667	0.551
2014-05-01	8815	13001	18088	38071	1692	9782	11764	26497	0.418	0.454
2014-06-01	11903	14279	7318	14365	1491	11752	2841	6767	0.661	0.805
2014-07-01	6599	12192	1300	2990	3076	11700	422	2791	0.904	0.965
2014-08-01	12623	22190	1277	7377	6213	21049	1082	6244	0.946	0.951
2014-09-01	11381	30189	1921	7267	4843	28956	939	6768	0.940	0.969
2014-10-01	8511	17405	1317	2587	2276	16851	208	2248	0.930	0.988
2014-11-01	3795	7273	1268	1457	883	6541	142	1057	0.852	0.979
2014-12-01	3846	9373	1239	1988	2013	9827	552	2339	0.883	0.947
2015-01-01	3596	11276	859	3272	1751	10642	99	2908	0.929	0.991
2015-02-01	5838	14067	685	2430	1959	13494	101	2088	0.954	0.993
2015-03-01	8550	20042	720	4054	2734	18827	165	3337	0.965	0.991
2015-04-01	7261	17559	576	3816	2274	16117	119	3151	0.968	0.993
2015-05-01	7591	19469	606	4444	2236	18906	142	3972	0.970	0.993
2015-06-01	7317	18954	564	4297	2350	18168	157	3921	0.971	0.991
2015-07-01	6752	15826	664	4432	2646	15512	240	3994	0.960	0.985
2015-08-01	6226	14747	578	4446	2663	14434	278	3952	0.962	0.981
2015-09-01	7478	17524	491	4724	2596	17208	227	4454	0.973	0.987
2015-10-01	7439	17407	467	4771	2641	17408	253	4536	0.974	0.986
2015-11-01	5128	13659	360	3374	2167	13084	109	2966	0.974	0.992
2015-12-01	5875	14767	353	4738	2445	14660	244	3988	0.977	0.984
2016-01-01	6651	14245	323	5738	2284	13991	294	4824	0.978	0.979
2016-02-01	6114	13400	209	6150	2401	12883	381	4866	0.985	0.971
2016-03-01	13359	32189	212	15726	4925	30955	1940	13270	0.993	0.941
2016-04-01	17123	42561	100	19934	5252	42319	1879	20106	0.998	0.957
2016-05-01	13783	36836	100	13836	4395	36083	957	13705	0.997	0.974
2016-06-01	13796	36363	110	14084	4804	37032	1311	13774	0.997	0.966
2016-07-01	16361	42440	122	17266	5202	41675	1179	15632	0.997	0.972
2016-08-01	23277	57855	136	27509	9493	58784	2423	24260	0.998	0.960
2016-09-01	26470	63707	260	37470	12692	61098	2209	31690	0.996	0.965
2016-10-01	24227	49462	371	42958	9777	48837	1194	40029	0.993	0.976
2016-11-01	21895	45736	340	40120	8586	44947	947	36907	0.993	0.979
2016-12-01	23102	44122	810	45292	9642	43606	1346	41214	0.982	0.970
2017-01-01	14903	23105	1257	30537	7680	25113	1686	32822	0.948	0.937
2017-02-01	866	357	1486	8933	1732	2813	1605	14278	0.194	0.637
2017-03-01	587	42	2151	7915	1770	2754	2468	13906	0.019	0.527
2017-04-01	1948	26	506	13347	2053	1685	685	14163	0.049	0.711
2017-05-01	4552	104	850	39588	4425	2618	1885	29332	0.109	0.581
2017-06-01	5303	361	561	58029	4645	1465	950	66619	0.392	0.607
2017-07-01	5637	184	113	51790	4326	1192	277	51934	0.620	0.811
2017-08-01	8448	126	387	81721	8538	1168	558	86292	0.246	0.677
2017-09-01	4175	71	155	26672	2737	783	474	31193	0.314	0.623
2017-10-01	2844	74	21	12821	1908	630	194	15466	0.779	0.765
2017-11-01	4091	10	203	16505	2423	743	732	22286	0.047	0.504
2017-12-01	3792	52	529	14529	2352	1198	1376	21383	0.090	0.465
2018-01-01	2339	35	551	7536	1557	793	1498	12037	0.060	0.346
2018-02-01	2528	89	294	8658	868	424	707	10767	0.232	0.375
2018-03-01	2599	6	181	7059	890	320	452	9201	0.032	0.415
2018-04-01	6066	4551	8719	16004	1852	7244	7605	16911	0.343	0.488
2018-05-01	3593	1	343	11280	1560	2259	1088	10313	0.003	0.675
2018-06-01	2190	0	0	5742	1211	651	250	6890		0.723
2018-07-01	2478	0	0	6922	1310	109	245	9142		0.308
2018-08-01	2605	0	0	7583	1199	121	1815	12497		0.063
2018-09-01	531	0	0	1967	241	13	10	2747		0.565
