month	num_tx	real_tx	ringct	avg_in	num_in	linked_in	nt_in	linked_nt	linked_nt_abs	avg_rs	avg_eff_rs	rel_min_rs	num_out	avg_out	dist_amount	volume
2014-04-01	19433	590	0	64.08	37810	25554	14010	0.13	1754	2.98	1.90	0.63	4298	7.28	107	118281.73
2014-05-01	63421	16859	0	46.98	792078	743375	69188	0.30	20485	1.50	1.15	0.91	1077424	63.91	84682	2652755.73
2014-06-01	134164	90689	0	28.10	2548746	2524836	71236	0.66	47326	1.08	1.02	0.97	3818073	42.10	912542	3445197.04
2014-07-01	105508	60795	0	22.06	1341391	1327033	77247	0.81	62889	1.13	1.01	0.94	1079894	17.76	23887	3690878.31
2014-08-01	98780	54302	0	22.02	1196001	1159214	175102	0.79	138315	1.71	1.06	0.85	1047231	19.29	77852	3167063.74
2014-09-01	73120	30104	0	27.78	836385	791055	220269	0.79	174939	1.57	1.06	0.74	794855	26.40	106339	3234391.68
2014-10-01	64504	20287	0	29.99	608321	598609	82119	0.88	72407	1.29	1.02	0.87	508212	25.05	86660	2533386.13
2014-11-01	63726	20962	0	25.12	526520	522008	30268	0.85	25756	1.13	1.01	0.94	428272	20.43	17809	2646956.14
2014-12-01	65857	21557	0	29.36	632998	614368	79371	0.77	60741	1.35	1.04	0.87	380200	17.64	1262	3661279.25
2015-01-01	62883	18747	0	23.93	448611	441942	47077	0.86	40408	1.24	1.02	0.90	312203	16.65	1107	2928974.26
2015-02-01	57225	17099	0	26.22	448295	442026	53928	0.88	47659	1.23	1.02	0.88	263346	15.40	1124	4210201.62
2015-03-01	69077	24624	0	26.47	651787	638281	99483	0.86	85977	1.30	1.02	0.85	286482	11.63	3020	6406139.72
2015-04-01	63903	21014	0	18.70	392981	382959	73049	0.86	63027	1.42	1.03	0.81	252375	12.01	2357	4451741.38
2015-05-01	62565	18212	0	19.30	351547	340215	69899	0.84	58567	1.51	1.04	0.80	232982	12.79	1969	8577934.70
2015-06-01	59216	16356	0	20.93	342336	330360	65089	0.82	53113	1.62	1.04	0.81	207699	12.70	1673	3836620.04
2015-07-01	60402	16104	0	20.33	327455	312460	77333	0.81	62338	1.73	1.06	0.76	203291	12.62	2831	3552788.83
2015-08-01	60779	16537	0	18.86	311811	294008	89001	0.80	71198	1.95	1.07	0.71	189655	11.47	3822	4417042.05
2015-09-01	58057	15320	0	18.77	287570	271577	80806	0.80	64813	1.91	1.07	0.72	176030	11.49	4298	4888249.82
2015-10-01	59276	15211	0	21.64	329155	311343	95071	0.81	77259	1.86	1.07	0.71	180826	11.89	5318	4390562.62
2015-11-01	56559	14046	0	18.86	264897	251022	73176	0.81	59301	1.81	1.06	0.72	163575	11.65	5003	4001388.20
2015-12-01	58538	14713	0	20.60	303148	281716	105522	0.80	84090	1.95	1.09	0.65	168373	11.44	5690	3500999.38
2016-01-01	59368	15499	0	24.71	382955	357159	93112	0.72	67316	1.92	1.08	0.76	174484	11.26	3750	3795069.92
2016-02-01	56893	15941	0	18.81	299855	268733	110102	0.72	78980	2.27	1.13	0.63	169452	10.63	3150	7033640.15
2016-03-01	59458	21297	0	23.96	510283	434239	283830	0.73	207786	2.91	1.20	0.60	221536	10.41	3174	8606228.59
2016-04-01	35186	13619	0	30.15	410680	331432	273785	0.71	194537	3.05	1.26	0.39	171545	12.60	152	5859847.38
2016-05-01	34019	11783	0	19.91	234571	165216	221988	0.69	152633	3.88	1.42	0.51	154590	13.12	150	4324875.48
2016-06-01	35736	14118	0	18.45	260488	189211	257238	0.72	185961	3.94	1.36	0.54	175772	12.45	149	4877602.53
2016-07-01	37000	14639	0	16.92	247738	179880	244002	0.72	176144	3.97	1.37	0.55	174263	11.90	146	4186868.81
2016-08-01	50911	28558	0	14.35	409903	293427	402161	0.71	285685	3.96	1.38	0.53	302940	10.61	155	13730812.06
2016-09-01	73907	52273	0	10.01	523297	337074	488715	0.62	302492	3.72	1.55	0.59	514092	9.83	151	10304002.13
2016-10-01	67189	45027	0	11.29	508270	259651	506872	0.51	258253	3.95	1.88	0.65	525855	11.68	148	6775812.69
2016-11-01	65023	43400	0	9.73	422403	231203	419007	0.54	227807	3.95	1.83	0.60	543388	12.52	151	6566993.90
2016-12-01	81244	58785	0	9.62	565420	291757	564231	0.51	290568	3.63	1.81	0.70	719657	12.24	149	5937723.45
2017-01-01	109025	86689	47018	7.22	626105	230621	620660	0.36	225176	3.49	2.24	0.75	782834	9.03	147	3501364.74
2017-02-01	88066	67905	86869	3.16	214266	16427	212286	0.07	14447	3.79	3.35	0.65	166645	2.45	133	15094.06
2017-03-01	112463	90199	112364	3.17	286364	21448	282266	0.06	17350	3.69	3.31	0.67	212852	2.36	116	4033.57
2017-04-01	96714	75097	96604	2.97	222927	13450	218591	0.04	9114	3.70	3.45	0.69	210082	2.80	117	2751.63
2017-05-01	114050	91725	114017	3.79	347844	18426	345934	0.05	16516	3.89	3.50	0.64	319640	3.48	107	2594.16
2017-06-01	109314	87653	109277	3.99	349850	12841	348589	0.03	11580	4.05	3.85	0.58	341732	3.90	87	2960.21
2017-07-01	107497	85058	107487	3.85	327506	9159	325813	0.02	7466	3.84	3.66	0.68	329701	3.88	70	84.53
2017-08-01	161158	138709	161130	4.16	577497	12217	574672	0.02	9392	3.88	3.76	0.65	599821	4.32	99	693.26
2017-09-01	150662	129037	150642	2.68	346236	16042	335725	0.02	5531	4.49	4.36	0.68	366210	2.84	99	245.04
2017-10-01	143609	121308	143591	2.39	290189	9269	283002	0.01	2082	5.51	5.43	0.83	314597	2.59	93	17.08
2017-11-01	180090	158490	180076	2.63	417092	13879	410054	0.02	6841	5.38	5.22	0.88	391215	2.47	88	13.10
2017-12-01	235704	213142	235668	2.35	500260	16392	492626	0.02	8758	5.30	5.12	0.89	510914	2.40	109	63.05
2018-01-01	198128	175730	198110	2.25	395551	14568	388482	0.02	7499	5.51	5.29	0.85	418438	2.38	88	19.11
2018-02-01	133249	113052	133235	2.26	255515	4431	253750	0.01	2666	5.67	5.54	0.87	262070	2.32	82	800008.61
2018-03-01	143931	121660	143922	2.12	258082	4386	256340	0.01	2644	5.74	5.61	0.85	277054	2.28	56	2.12
2018-04-01	172588	151794	172567	2.38	360605	35811	355224	0.09	30430	7.15	6.53	0.82	391893	2.58	88	8.64
2018-05-01	188652	166378	188637	2.28	379895	20040	375941	0.04	16086	7.48	7.05	0.83	437364	2.63	79	17.02
2018-06-01	44503	38724	44503	2.17	84169	902	84169	0.01	902	7.61	7.49	0.82	103806	2.68	1	0.00
