logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
0.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1.0	7910	42	3	2	13	31	2250	5614	2	13	17	10	0	0	0	3	0	0
1.5	33655	2910	1	14	82	2739	16818	14002	10	82	2193	625	0	0	0	1	0	0
2.0	23781	2908	4	8	112	2640	13540	7481	6	112	2098	692	0	0	0	3	1	0
2.3	18742	2847	2	92	78	2395	10822	5355	78	78	1910	781	0	0	0	2	0	0
2.5	16886	3559	1	1074	70	2360	9116	4266	826	70	1921	742	0	0	0	1	0	0
2.8	15038	3632	2	1238	61	2326	7880	3533	982	61	1860	729	0	0	0	2	0	0
3.0	13553	3515	4	1167	72	2335	6975	3004	904	72	1865	674	0	0	0	3	1	0
3.1	12334	3369	3	1201	61	2152	6150	2770	930	61	1713	665	0	0	0	3	0	0
3.3	45539	5226	28	2854	259	2331	17962	22133	2435	253	1886	652	0	0	0	1	0	27
3.4	189655	19942	121	9561	4177	8951	112925	54041	8785	4019	6109	1026	3	0	0	5	17	99
3.5	152275	23014	114	11405	4772	10241	85679	40178	10588	4498	6915	1010	3	0	0	8	21	85
3.7	121822	22734	125	11598	4554	10317	63521	31832	10823	4157	6799	952	3	0	0	6	26	93
3.8	104738	21198	126	10796	4182	9465	52464	27831	10104	3774	6327	991	2	0	0	9	20	97
3.9	94024	20418	121	10453	3858	9507	44958	25248	9738	3458	6247	971	4	0	0	19	29	73
4.0	159937	37453	273	20079	6980	15914	72684	44280	18776	6223	10580	1869	5	0	0	19	54	200
4.1	70166	17390	160	9200	3335	7318	30881	19432	8618	2965	4980	826	1	0	0	13	30	117
4.2	64996	16353	137	8972	3002	6639	28371	18012	8374	2624	4523	832	0	0	0	13	28	96
4.3	121886	31492	308	17854	4969	12976	51899	34188	16676	4426	8818	1571	1	0	0	29	74	205
4.4	59552	15381	156	8942	2378	6021	26022	16189	8419	2116	4080	764	2	0	0	15	28	113
4.5	110878	30245	341	18048	4639	11158	46843	30190	16958	4151	7729	1406	1	0	0	21	78	242
