logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
5.2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
5.4	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
5.6	4	4	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0
5.9	5	5	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
6.0	6	5	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0
6.1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
6.2	8	7	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0
6.3	8	7	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0
6.4	6	5	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0
6.5	10	8	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0
6.6	4	3	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0
6.7	8	8	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0
6.8	8	8	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0
6.9	8	8	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0
7.0	9	9	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0
7.1	10	9	0	0	0	10	0	0	0	0	9	0	0	0	0	0	0	0
7.2	14	14	0	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0
7.3	11	10	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0
7.4	37	31	0	0	0	37	0	0	0	0	31	0	0	0	0	0	0	0
7.5	20	20	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0
7.6	15	13	0	0	0	15	0	0	0	0	13	0	0	0	0	0	0	0
7.7	23	19	0	0	0	23	0	0	0	0	19	0	0	0	0	0	0	0
7.8	24	24	0	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0
7.9	41	39	0	0	0	41	0	0	0	0	39	0	0	0	0	0	0	0
8.0	47	41	0	0	0	47	0	0	0	0	41	0	0	0	0	0	0	0
8.1	53	47	0	0	0	53	0	0	0	0	47	0	0	0	0	0	0	0
8.2	40	35	0	0	0	40	0	0	0	0	35	0	0	0	0	0	0	0
8.3	145	123	0	0	0	145	0	0	0	0	123	0	0	0	0	0	0	0
8.4	79	71	0	0	0	79	0	0	0	0	71	0	0	0	0	0	0	0
8.5	54	51	0	0	0	54	0	0	0	0	51	0	0	0	0	0	0	0
8.6	77	70	0	0	0	77	0	0	0	0	70	0	0	0	0	0	0	0
8.7	97	86	0	0	0	97	0	0	0	0	86	0	0	0	0	0	0	0
8.8	81	73	0	0	0	81	0	0	0	0	73	0	0	0	0	0	0	0
8.9	82	68	0	0	0	82	0	0	0	0	68	0	0	0	0	0	0	0
9.0	148	131	0	0	0	148	0	0	0	0	131	0	0	0	0	0	0	0
9.1	82	68	0	0	0	82	0	0	0	0	68	0	0	0	0	0	0	0
9.2	110	91	0	0	0	110	0	0	0	0	91	0	0	0	0	0	0	0
9.3	134	111	0	0	0	134	0	0	0	0	111	0	0	0	0	0	0	0
9.4	164	148	0	0	0	164	0	0	0	0	148	0	0	0	0	0	0	0
9.5	238	203	0	0	0	238	0	0	0	0	203	0	0	0	0	0	0	0
9.6	275	248	0	0	0	275	0	0	0	0	248	0	0	0	0	0	0	0
9.7	301	260	0	0	0	301	0	0	0	0	260	0	0	0	0	0	0	0
9.8	404	362	0	0	0	404	0	0	0	0	362	0	0	0	0	0	0	0
9.9	468	413	0	0	0	468	0	0	0	0	413	0	0	0	0	0	0	0
10.0	361	313	0	0	0	361	0	0	0	0	313	0	0	0	0	0	0	0
