month	avg	effavg	total	ring1	ring2	ring3	ring4	ring5	ring6	ring7	ring8	ring9	ring10	effring1	effring2	effring3	effring4	effring5	effring6	effring7	effring8	effring9	effring10
2014-04-01	2.9815	1.8954	37810	0.6295	0.0582	0.0018	0.0018	0.0010	0.2327	0.0000	0.0001	0.0031	0.0720	0.6759	0.0814	0.0794	0.0743	0.0469	0.0223	0.0101	0.0062	0.0024	0.0011
2014-05-01	1.4954	1.1467	792078	0.9127	0.0124	0.0084	0.0163	0.0021	0.0242	0.0011	0.0004	0.0002	0.0221	0.9385	0.0260	0.0155	0.0088	0.0046	0.0025	0.0015	0.0009	0.0006	0.0011
2014-06-01	1.0796	1.0152	2548746	0.9721	0.0174	0.0055	0.0015	0.0005	0.0008	0.0000	0.0001	0.0002	0.0020	0.9906	0.0073	0.0010	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001
2014-07-01	1.1343	1.0122	1341391	0.9424	0.0253	0.0028	0.0267	0.0003	0.0009	0.0000	0.0000	0.0001	0.0014	0.9893	0.0094	0.0011	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2014-08-01	1.7103	1.0550	1196001	0.8536	0.0485	0.0279	0.0289	0.0307	0.0017	0.0002	0.0001	0.0000	0.0084	0.9693	0.0232	0.0037	0.0011	0.0006	0.0005	0.0004	0.0003	0.0002	0.0008
2014-09-01	1.5661	1.0599	836385	0.7366	0.0932	0.0802	0.0670	0.0199	0.0021	0.0003	0.0001	0	0.0006	0.9460	0.0490	0.0045	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2014-10-01	1.2860	1.0174	608321	0.8650	0.0344	0.0697	0.0263	0.0023	0.0016	0.0000	0.0000	0.0001	0.0006	0.9841	0.0149	0.0009	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2014-11-01	1.1348	1.0103	526520	0.9425	0.0311	0.0028	0.0196	0.0003	0.0013	0.0012	0	0.0000	0.0011	0.9914	0.0075	0.0008	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2014-12-01	1.3530	1.0361	632998	0.8746	0.0521	0.0013	0.0095	0.0591	0.0003	0.0000	0.0022	0.0003	0.0006	0.9706	0.0240	0.0045	0.0007	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
2015-01-01	1.2428	1.0187	448611	0.8951	0.0652	0.0067	0.0177	0.0081	0.0057	0.0000	0.0000	0	0.0014	0.9852	0.0122	0.0021	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
