month	avg	effavg	total	ring1	ring2	ring3	ring4	ring5	ring6	ring7	ring8	ring9	ring10	effring1	effring2	effring3	effring4	effring5	effring6	effring7	effring8	effring9	effring10
2014-04-01	6.3476	3.4166	14010	0	0.1570	0.0048	0.0048	0.0026	0.6279	0.0001	0.0004	0.0084	0.1942	0.1252	0.2198	0.2144	0.2005	0.1267	0.0601	0.0271	0.0168	0.0066	0.0029
2014-05-01	6.6717	2.6794	69188	0	0.1423	0.0966	0.1872	0.0237	0.2772	0.0121	0.0051	0.0023	0.2535	0.2962	0.2981	0.1779	0.1006	0.0525	0.0286	0.0172	0.0101	0.0067	0.0121
2014-06-01	3.8486	1.5450	71236	0	0.6208	0.1983	0.0537	0.0189	0.0269	0.0009	0.0019	0.0057	0.0729	0.6646	0.2608	0.0342	0.0117	0.0076	0.0057	0.0043	0.0038	0.0029	0.0045
2014-07-01	3.3317	1.2122	77247	0	0.4391	0.0490	0.4639	0.0055	0.0152	0.0008	0.0004	0.0010	0.0250	0.8144	0.1632	0.0193	0.0024	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000
2014-08-01	5.8516	1.3757	175102	0	0.3310	0.1905	0.1976	0.2096	0.0117	0.0017	0.0004	0.0001	0.0574	0.7902	0.1582	0.0253	0.0075	0.0042	0.0034	0.0025	0.0018	0.0015	0.0053
2014-09-01	3.1496	1.2276	220269	0	0.3540	0.3046	0.2543	0.0754	0.0079	0.0010	0.0005	0	0.0023	0.7949	0.1860	0.0172	0.0014	0.0002	0.0001	0.0000	0.0000	0.0000	0.0001
2014-10-01	3.1187	1.1291	82119	0	0.2548	0.5165	0.1946	0.0171	0.0117	0.0001	0.0003	0.0005	0.0044	0.8820	0.1102	0.0065	0.0006	0.0003	0.0001	0.0001	0.0001	0.0000	0.0001
2014-11-01	3.3445	1.1792	30268	0	0.5415	0.0482	0.3417	0.0060	0.0228	0.0205	0	0.0007	0.0185	0.8511	0.1305	0.0132	0.0029	0.0008	0.0007	0.0003	0.0002	0.0002	0.0002
2014-12-01	3.8152	1.2882	79371	0	0.4157	0.0100	0.0759	0.4716	0.0022	0.0000	0.0174	0.0025	0.0046	0.7658	0.1911	0.0356	0.0059	0.0008	0.0003	0.0001	0.0001	0.0001	0.0001
2015-01-01	3.3142	1.1782	47077	0	0.6217	0.0640	0.1686	0.0772	0.0546	0.0001	0.0001	0	0.0138	0.8588	0.1166	0.0198	0.0023	0.0008	0.0007	0.0004	0.0003	0.0002	0.0003
